Identification,Latitude,Longitude,Time of Observation,Ice Accretion On Ship,Thickness of Ice Accretion On Ship,Rate of Ice Accretion on Ship,Sea Level Pressure,Characteristics of Pressure Tendency,Pressure Tendency,Air Temperature,Wet Bulb Temperature,Dew Point Temperature,Sea Surface Temperature,Wave Direction,Wave Period,Wave Height,Swell Direction,Swell Period,Swell Height,Total Cloud Amount,Low Cloud Amount,Low Cloud Type,Cloud Height Indicator,Cloud Height,Middle Cloud Type,High Cloud Type,Visibility,Visibility Indicator,Present Weather,Past Weather,Wind Direction,Wind Speed
D5GN6,-35.8,   2.9,2015-01-12T00:00:00, , , ,29.83,8,0.0,70.5, ,65.5, , , , , , , ,7, , , ,5, , ,97, , 3,2,300,139
D5GN6,-35.9,   6.9,2015-01-12T12:00:00, , , ,29.93,1,0.0,66.2, ,56.1, , , 9,10, , , ,8, , , ,2,1,A,97, , 2,2,180,165
D5GN6,-35.9,   8.6,2015-01-12T18:00:00, , , ,30.02,1,0.0,61.2, ,48.9, , , 7, 7,24,12, 8,8, , , ,2,0,0,97, , 2,2,170,154
D5GN6,-35.7,  11.9,2015-01-13T06:00:00, , , ,30.14,0,0.0,64.6, ,45.0, , , 8, 7,22, 9, 8,7, , , ,3,0,0,98, , 1,2,140,118
D5GN6,-35.6,  13.7,2015-01-13T12:00:00, , , ,30.12,8, ,66.7, ,50.5, , , 8, 7, , , ,4, , , ,5,7,A,98, , 2,1,160,123
D5GN6,-35.4,  15.5,2015-01-13T18:00:00, , , ,30.08,5,0.0,68.4, ,48.9, , , , , , , ,6, , , ,3, , ,97, , , ,120,118
D5GN6,-35.3,  17.1,2015-01-14T00:00:00, , , ,30.01,8,0.0,68.0, ,57.9, , , , , , , ,8,1, , ,2,1,A,97, , 3,2,140,139
D5GN6,-35.2,  18.6,2015-01-14T06:00:00, , , ,29.98,3,0.0,69.3, ,61.7, , , 3,14,20,12, 8,8, , , ,3,0,0,97, , 2,2,100,154
D5GN6,-35.2,  20.3,2015-01-14T12:00:00, , , ,29.91,8,0.0,80.6, ,57.4, , , 8, 6, , , ,7, , , ,2,A,A,97, , 2,2, 80,129
D5GN6,-35.1,  21.8,2015-01-14T18:00:00, , , ,29.88,3,0.0,73.2, ,64.8, , , 6, 6, 9, 9, 7,3,2, , ,3,1,5,97, , 2,0, 90,154
D5GN6,-34.5,  24.8,2015-01-15T06:00:00, , , ,29.75,3,0.0,73.9, ,68.2, , , 6, 5, 3, 8, 8,4,1, , ,4,1,8,97, , 1,1, 60,139
D5GN6,-34.0,  26.3,2015-01-15T12:00:00, , , ,29.66,8,0.0,80.6, ,70.0, , , , , , , ,2, , , ,5,A,4,97, , 1,0, 70,139
D5GN6,-33.4,  27.5,2015-01-15T18:00:00, , , ,29.54,8,0.0,75.6, ,70.3, , , 8, 6, 7, 8, 7,6,4, , ,4,1,8,97, ,92,9, 60,232
D5GN6,-32.7,  28.5,2015-01-16T00:00:00, , , ,29.59,8,0.0,75.2, ,68.5, , , , , , , , , , , ,A, , ,97, , 2,0, 50,154
D5GN6,-31.9,  29.5,2015-01-16T06:00:00, , , , , , ,79.3, , , , , , , , , ,1, , , ,9, , ,98, , , , 20, 87
D5GN6,-30.9,  30.4,2015-01-16T12:00:00, , , ,29.53,8,0.0,82.4, ,73.2, , , , , , , ,1, , , ,5,A,A,97, , 2,0, 50, 93
D5GN6,-29.9,  31.3,2015-01-17T06:00:00, , , ,29.97,1,0.0,76.1, ,57.2, , , , , , , ,4, , , ,3, , ,97, , , ,240,180
D5GN6,-29.5,  32.7,2015-01-20T12:00:00, , , ,30.06,7,0.0,75.2, ,57.4, , , 6, 6, , , ,7, , , ,5,7,A,98, , 3,2,170,103
D5GN6,-28.8,  36.2,2015-01-21T00:00:00, , , ,30.05,7,0.0,72.3, ,56.3, , , , , , , ,1, , , ,A, , ,98, , 2,0,130, 67
D5GN6,-28.4,  38.1,2015-01-21T06:00:00, , , ,30.08,2,0.0,76.1, ,56.7, , , , , 9, 8, 6,3,2, , ,5,7,0,98, , 3,0,160, 72
D5GN6,-28.0,  39.8,2015-01-21T12:00:00, , , ,30.03,8,0.0,77.0, ,59.0, , , , , , , ,4, , , ,5,6,A,98, , 2,1,170, 77
D5GN6,-27.7,  41.4,2015-01-21T18:00:00, , , ,30.06,2,0.0,75.2, ,62.2, , , , , , , ,3, , , ,A,7,A,98, , 3,0,130,103
D5GN6,-27.4,  42.9,2015-01-22T00:00:00, , , ,30.03,7,0.0,75.2, ,58.5, , , , , , , ,1, , , ,A, , ,98, , 2,0,140, 77
D5GN6,-27.0,  44.6,2015-01-22T06:00:00, , , ,30.06,1,0.0,80.6, ,57.9, , , 3, 2,10, 5, 6,6,4, , ,5,7,0,98, , 3,2,130,103
D5GN6,-26.4,  46.0,2015-01-22T13:00:00, , , ,30.00,7,0.0,78.8, ,63.3, , , , , , , ,2, , , ,A, , ,97, , 2, ,140,113
D5GN6,-25.6,  47.8,2015-01-22T18:00:00, , , ,30.01,2,0.0,77.0, ,62.1, , , , , , , ,3, , , ,A, , ,98, , 3,0,120,113
D5GN6,-24.8,  49.5,2015-01-23T00:00:00, , , ,29.96,6,0.0,75.2, ,61.3, , , , , , , ,5, , , ,A, , ,98, , 3,2,130,113
D5GN6,-23.9,  51.2,2015-01-23T06:00:00, , , ,29.95,0,0.0,82.2, ,61.7, , , 4, 1,18, 8, 6,6,2, , ,6,7,0,97, , 3,2,110,123
D5GN6,-22.5,  54.2,2015-01-23T18:00:00, , , ,29.87,0,0.0,78.8, ,68.2, , , , , , , ,4, , , ,A, , ,98, , 3,0,150,159
D5GN6,-21.7,  55.8,2015-01-24T00:00:00, , , ,29.79,6,0.0,77.9, ,73.4, , , , , , , ,8, , , ,A, , ,97, ,62,0,140,165
D5GN6,-20.8,  57.4,2015-01-24T06:00:00, , , ,29.84,0,0.0,84.2, ,74.1, , , 5, 2,17, 7, 6,6,5, , ,3,7,1,98, ,80,1, 70, 87
D5GN6,-20.1,  59.0,2015-01-24T12:00:00, , , ,29.83,7,0.0,82.4, ,69.4, , , , , , , , , , , ,A,A,8,98, , 1,0, 90,113
D5GN6,-19.3,  60.5,2015-01-24T18:00:00, , , ,29.88,0,0.0,81.0, ,71.1, , , , , , , ,3, , , ,A, , ,98, , 3,0, 90,139
D5GN6,-18.5,  62.0,2015-01-25T00:00:00, , , ,29.85,5,0.0,77.5, ,67.8, , ,99, 5,38, , 6,3, , , ,A, , ,98, , 2,0,110,129
D5GN6,-17.8,  63.4,2015-01-25T06:00:00, , , ,29.88,0,0.0,84.2, ,71.2, , , 4, 1, 9, 6, 6,3, , , ,4,0,0,98, , 3,0,110,139
D5GN6,-17.0,  64.9,2015-01-25T12:00:00, , , ,29.82,5,0.0,82.4, ,70.7, , , 5, 3, , 8, 5,8, , , ,3,0,0,98, , 2,2,150,108
D5GN6,-16.2,  66.5,2015-01-25T18:00:00, , , ,29.87,1,0.0,78.4, ,73.6, , , , , , , ,8, , , ,A, , ,97, ,80,2,130, 41
D5GN6,-14.7,  69.4,2015-01-26T06:00:00, , , ,29.81,3,0.0,82.8, ,68.0, , , 6, 1,14, 6, 6,4,2, , ,3,6,0,98, , 1,1, 20, 82
D5GN6,-13.2,  72.2,2015-01-26T18:00:00, , , ,29.83,1,0.0,81.0, ,73.4, , , , , , , ,7, , , ,3,A,A,97, ,80,2,300, 57
D5GN6,-12.4,  73.7,2015-01-27T00:00:00, , , ,29.75,5,0.0,78.1, ,70.7, , ,99, 6,38, , 7,8, , , ,3,A,A,97, ,82,2,290,185
D5GN6,-11.6,  75.2,2015-01-27T06:00:00, , , ,29.82,0,0.0,70.7, ,60.8, , , 5, 2,28, 9, 4,8,4, , ,3,2,A,97, ,90,2,320,103
D5GN6,-10.8,  76.7,2015-01-27T12:00:00, , , ,29.76,5,0.0, , ,73.4, , , 5, 4,31, 8, 5,1,6, , ,3,7,8,97, , 2,2, 20,463
D5GN6, -8.9,  79.2,2015-01-28T00:00:00, , , ,29.78,3,0.0,81.5, ,72.0, , , 5,63,38, , 5,7,6, , ,5,7,0,98, , 2,2,340, 51
D5GN6, -7.9,  80.3,2015-01-28T06:00:00, , , ,29.84,0,0.0,82.9, ,72.1, , , , ,26,10, 3,5,3, , ,5,7,0,98, , 3,0,330, 31
D5GN6, -6.6,  81.6,2015-01-28T12:00:00, , , ,29.78,3,0.0,83.3, ,68.0, , ,99, 1,29, 7, 3,3, , , ,4,0,0,98, , 2,0,310, 10
D5GN6, -5.4,  82.8,2015-01-28T18:00:00, , , ,29.86,0,0.0,81.0, ,70.2, , , , , , , ,3,1, , ,4,A,A,98, , 3,0,270, 26
D5GN6, -4.2,  84.0,2015-01-29T00:00:00, , , ,29.82,3,0.0,80.4, ,72.1, , , 0, 0, 1, 5, 1,2, , , ,3,0,0,98, , 3,0, 90, 10
D5GN6, -2.3,  86.0,2015-01-29T12:00:00, , , ,29.83,0,0.0,84.0, ,73.6, , , 5, 1, , , ,2, , , ,3,0,0,98, , 2,0,190, 26
D5GN6, -0.2,  88.1,2015-01-30T00:00:00, , , ,29.87,3,0.0,79.3, ,67.8, , ,99, 1, , , ,3,2, , ,5,0,8,98, , 3,0,362, 10
D5GN6,  0.8,  89.2,2015-01-30T06:00:00, , , ,29.91,0,0.0,87.8, ,75.9, , , , , , , ,3, , , ,6,6,A,98, , 2,1,310, 36
D5GN6,  2.0,  90.4,2015-01-30T12:00:00, , , ,29.86,3,0.0,83.1, ,73.2, , ,99, 1, 5, 5, 2,4,3, , ,3,7,0,97, , 3,2,330, 36
D5GN6,  3.0,  91.5,2015-01-30T18:00:00, , , ,29.90,8,0.0,83.3, ,76.8, , , , , , , ,6, , , ,3,A,A,97, ,13,2,320, 46
D5GN6,  4.2,  92.6,2015-01-31T00:00:00, , , ,29.85,3,0.0,80.8, ,71.8, , , 4, 1, 3, 6, 2,6,4, , ,4,3,4,98, , 3,1,360, 57
D5GN6,  5.2,  93.6,2015-01-31T06:00:00, , , ,29.87,8,0.0,86.0, ,69.4, , , , , , , ,5, , , ,6, , ,97, , 2,1, 40, 82
D5GN6,  6.1,  94.6,2015-01-31T12:00:00, , , ,29.80,2,0.0,82.8, ,75.2, , , 5, 1, , , ,3,1, , ,4,8,8,97, , 2,0, 60, 87
