population_2024,population_growthRate,land_area,country,region,unMember,population_density,population_densityMi,share_borders,Hdi2021,Hdi2020,WorldHappiness2022
1441719852,0.00916,3287590,India,Asia,TRUE,484.9067,1255.9084,"AFG, BGD, BTN, MMR, CHN, NPL, PAK, LKA",0.633,0.642,3.777
1425178782,-0.00035,9706961,China,Asia,TRUE,151.2174,391.653,"AFG, BTN, MMR, HKG, IND, KAZ, PRK, KGZ, LAO, MAC, MNG, PAK, RUS, TJK, VNM",0.768,0.764,5.585
341814420,0.00535,9372610,United States,North America,TRUE,37.3673,96.7813,"CAN, MEX",0.921,0.92,6.977
279798049,0.00816,1904569,Indonesia,Asia,TRUE,149.0254,385.9758,"TLS, MYS, PNG",0.705,0.709,5.24
245209815,0.01964,881912,Pakistan,Asia,TRUE,318.0908,823.8551,"AFG, CHN, IND, IRN",0.544,0.543,4.516
229152217,0.02389,923768,Nigeria,Africa,TRUE,251.6027,651.6511,"BEN, CMR, TCD, NER",0.535,0.535,4.552
217637297,0.00561,8515767,Brazil,South America,TRUE,26.039,67.4409,"ARG, BOL, COL, GUF, GUY, PRY, PER, SUR, URY, VEN",0.754,0.758,6.293
174701211,0.0101,147570,Bangladesh,Asia,TRUE,1342.1004,3476.0401,"MMR, IND",0.661,0.655,5.155
143957079,-0.00337,17098242,Russia,Europe,TRUE,8.7903,22.7668,"AZE, BLR, CHN, EST, FIN, GEO, KAZ, PRK, LVA, LTU, MNG, NOR, POL, UKR",0.829,0.83,5.459
129719719,0.02523,1104300,Ethiopia,Africa,TRUE,114.9415,297.6986,"DJI, ERI, KEN, SOM, SSD, SDN",0.498,0.498,4.241
129388467,0.00726,1964375,Mexico,North America,TRUE,66.5596,172.3893,"BLZ, GTM, USA",0.758,0.756,6.128
122631432,-0.00538,377930,Japan,Asia,TRUE,336.4374,871.3729,,0.925,0.923,6.039
119106224,0.01508,342353,Philippines,Asia,TRUE,399.4574,1034.5948,,0.699,0.71,5.904
114484252,0.01568,1002450,Egypt,Africa,TRUE,115.0075,297.8695,"ISR, LBY, SDN",0.731,0.734,4.288
99497680,0.00646,331212,Vietnam,Asia,TRUE,317.4489,822.1926,"KHM, CHN, LAO",0.703,0.71,5.485
86260417,0.00518,783562,Turkey,Asia,TRUE,110.0875,285.1267,"ARM, AZE, BGR, GEO, GRC, IRN, IRQ, SYR",0.838,0.833,4.744
83252474,-0.00051,357114,Germany,Europe,TRUE,238.2795,617.1439,"AUT, BEL, CZE, DNK, FRA, LUX, NLD, POL, CHE",0.942,0.944,7.034
71885799,0.00118,513120,Thailand,Asia,TRUE,140.707,364.4311,"MMR, KHM, LAO, MYS",0.8,0.802,5.891
69419073,0.02938,945087,Tanzania,Africa,TRUE,78.3688,202.9752,"BDI, COD, KEN, MWI, MOZ, RWA, UGA, ZMB",0.549,0.548,3.702
67961439,0.00332,242900,United Kingdom,Europe,TRUE,280.9136,727.5663,IRL,0.929,0.924,6.943
64881830,0.00193,551695,France,Europe,TRUE,118.4933,306.8976,"AND, BEL, DEU, ITA, LUX, MCO, ESP, CHE",0.903,0.898,6.687
61020221,0.01003,1221037,South Africa,Africa,TRUE,50.3015,130.2808,"BWA, LSO, MOZ, NAM, SWZ, ZWE",0.713,0.727,5.194
58697744,-0.00294,301336,Italy,Europe,TRUE,198.493,514.0968,"AUT, FRA, SMR, SVN, CHE, VAT",0.895,0.889,6.467
56203030,0.02001,580367,Kenya,Africa,TRUE,98.7508,255.7646,"ETH, SOM, SSD, TZA, UGA",0.575,0.578,4.543
54964694,0.00709,676578,Myanmar,Asia,TRUE,84.2151,218.1172,"BGD, CHN, IND, LAO, THA",0.585,0.6,4.394
52340774,0.00491,1141748,Colombia,South America,TRUE,47.1751,122.1835,"BRA, ECU, PAN, PER, VEN",0.752,0.756,5.781
51741963,-0.00081,100210,South Korea,Asia,TRUE,530.1431,1373.0705,PRK,0.925,0.922,5.935
49924252,0.02762,241550,Uganda,Africa,TRUE,248.9739,644.8425,"COD, KEN, RWA, SSD, TZA",0.525,0.524,4.603
49358228,0.02597,1886068,Sudan,Africa,TRUE,26.423,68.4357,"CAF, TCD, EGY, ERI, ETH, LBY, SSD",0.508,0.51,4.362
47473373,-0.00097,505992,Spain,Europe,TRUE,95.031,246.1303,"AND, FRA, GIB, PRT, MAR",0.905,0.899,6.476
46523657,0.0224,438317,Iraq,Asia,TRUE,107.1658,277.5593,"IRN, JOR, KWT, SAU, SYR, TUR",0.686,0.679,4.941
46278751,0.01474,2381741,Algeria,Africa,TRUE,19.4306,50.3254,"TUN, LBY, NER, ESH, MRT, MLI, MAR",0.745,0.736,5.122
46057866,0.0062,2780400,Argentina,South America,TRUE,16.8298,43.5891,"BOL, BRA, CHL, PRY, URY",0.842,0.84,5.967
43372950,0.02683,652230,Afghanistan,Asia,TRUE,66.4995,172.2336,"IRN, PAK, TKM, UZB, TJK, CHN",0.478,0.483,2.404
40221726,-0.01961,312679,Poland,Europe,TRUE,131.3877,340.2942,"BLR, CZE, DEU, LTU, RUS, SVK, UKR",0.876,0.876,6.123
39107046,0.0084,9984670,Canada,North America,TRUE,4.3619,11.2973,USA,0.936,0.931,7.025
38211459,0.00982,446550,Morocco,Africa,TRUE,85.6183,221.7515,"DZA, ESH, ESP",0.683,0.679,5.06
37937821,0.03247,603500,Ukraine,Europe,TRUE,65.4778,169.5874,"BLR, HUN, MDA, POL, ROU, RUS, SVK",0.773,0.775,5.084
37473929,0.01426,2149690,Saudi Arabia,Asia,TRUE,17.4322,45.1495,"IRQ, JOR, KWT, OMN, QAT, ARE, YEM",0.875,0.87,6.523
35673804,0.0145,447400,Uzbekistan,Asia,TRUE,80.9572,209.6792,"AFG, KAZ, KGZ, TJK, TKM",0.727,0.721,6.063
35219853,0.02235,527968,Yemen,Asia,TRUE,66.7081,172.7739,"OMN, SAU",0.455,0.46,4.197
34858402,0.02835,801590,Mozambique,Africa,TRUE,44.3277,114.8087,"MWI, ZAF, SWZ, TZA, ZMB, ZWE",0.446,0.453,5.048
34777522,0.01921,238533,Ghana,Africa,TRUE,152.8461,395.8713,"BFA, CIV, TGO",0.632,0.632,4.872
34683444,0.00963,1285216,Peru,South America,TRUE,27.0964,70.1798,"BOL, BRA, CHL, COL, ECU",0.762,0.762,5.559
34671895,0.01059,330803,Malaysia,Asia,TRUE,105.53,273.3228,"BRN, IDN, THA",0.803,0.806,5.711
31240315,0.01113,147181,Nepal,Asia,TRUE,217.9303,564.4396,"CHN, IND",0.602,0.604,5.377
31056610,0.0241,587041,Madagascar,Africa,TRUE,53.3802,138.2548,,0.501,0.501,4.339
29603302,0.02529,322463,Ivory Coast,Africa,TRUE,93.0921,241.1087,"BFA, GHA, GIN, LBR, MLI",0.55,0.551,5.235
29394433,0.02608,475442,Cameroon,Africa,TRUE,62.1828,161.0535,"CAF, TCD, COG, GNQ, GAB, NGA",0.576,0.578,5.048
28238972,0.03809,1267000,Niger,Africa,TRUE,22.2933,57.7397,"DZA, BEN, BFA, TCD, LBY, MLI, NGA",0.4,0.401,5.003
26699482,0.00985,7692024,Australia,Oceania,TRUE,3.4711,8.9901,,0.951,0.947,7.162
24015789,0.031,1240192,Mali,Africa,TRUE,19.682,50.9764,"DZA, BFA, GIN, CIV, MRT, NER, SEN",0.428,0.427,4.479
23840247,0.02532,272967,Burkina Faso,Africa,TRUE,87.1354,225.6807,"BEN, CIV, GHA, MLI, NER, TGO",0.449,0.449,4.67
21949268,0.00254,65610,Sri Lanka,Asia,TRUE,354.8217,918.9881,IND,0.782,0.78,4
21475962,0.026,118484,Malawi,Africa,TRUE,227.7892,589.9739,"MOZ, TZA, ZMB",0.512,0.516,3.75
21134695,0.02747,752612,Zambia,Africa,TRUE,28.4302,73.6341,"AGO, BWA, COD, MWI, MOZ, NAM, TZA, ZWE",0.565,0.57,3.76
19828165,0.0113,2724900,Kazakhstan,Asia,TRUE,7.3446,19.0225,"CHN, KGZ, RUS, TKM, UZB",0.811,0.814,6.234
19658839,0.00149,756102,Chile,South America,TRUE,26.4398,68.4791,"ARG, BOL, PER",0.855,0.852,6.172
19618996,-0.01377,238391,Romania,Europe,TRUE,85.2703,220.8501,"BGR, HUN, MDA, SRB, UKR",0.821,0.824,6.477
18847148,0.03111,1284000,Chad,Africa,TRUE,14.9676,38.766,"CMR, CAF, LBY, NER, NGA, SSD",0.394,0.397,4.251
18377367,0.01027,276841,Ecuador,South America,TRUE,73.9949,191.6467,"COL, PER",0.74,0.731,5.533
18358430,0.01473,108889,Guatemala,North America,TRUE,171.3179,443.7135,"BLZ, SLV, HND, MEX",0.627,0.635,6.262
18221567,0.02581,196722,Senegal,Africa,TRUE,94.6427,245.1247,"GMB, GIN, GNB, MLI, MRT",0.511,0.513,5.046
17671125,0.003,41850,Netherlands,Europe,TRUE,524.8329,1359.3173,"BEL, DEU",0.941,0.939,7.415
17121847,0.01045,181035,Cambodia,Asia,TRUE,96.9966,251.2213,"LAO, THA, VNM",0.593,0.596,4.46
17020321,0.0213,390757,Zimbabwe,Africa,TRUE,43.9972,113.9528,"BWA, MOZ, ZAF, ZMB",0.593,0.6,2.995
14414910,0.02272,26338,Rwanda,Africa,TRUE,584.3093,1513.361,"BDI, COD, TZA, UGA",0.534,0.532,3.268
14080072,0.02678,112622,Benin,Africa,TRUE,124.8676,323.4071,"BFA, NER, NGA, TGO",0.525,0.524,4.623
12567336,0.01443,1098581,Bolivia,South America,TRUE,11.601,30.0465,"ARG, BRA, CHL, PRY, PER",0.692,0.694,5.6
12564689,0.00855,163610,Tunisia,Africa,TRUE,80.8747,209.4654,"DZA, LBY",0.731,0.737,4.516
11715774,0.00254,30528,Belgium,Europe,TRUE,386.9146,1002.1088,"FRA, DEU, LUX, NLD",0.937,0.928,6.805
11434005,0.00892,48671,Dominican Republic,North America,TRUE,236.6799,613.0009,HTI,0.767,0.764,5.737
11384922,0.00422,89342,Jordan,Asia,TRUE,128.2172,332.0827,"IRQ, ISR, SAU, SYR",0.72,0.723,4.152
10759406,0.01563,112492,Honduras,North America,TRUE,96.1606,249.0559,"GTM, SLV, NIC",0.621,0.621,6.022
10673669,0.0058,450295,Sweden,Europe,TRUE,26.207,67.8761,"FIN, NOR",0.947,0.942,7.384
10503734,0.0008,78865,Czech Republic,Europe,TRUE,136.0614,352.399,"AUT, DEU, POL, SVK",0.889,0.892,6.92
10462904,0.00483,86600,Azerbaijan,Asia,TRUE,126.599,327.8915,"ARM, GEO, IRN, RUS, TUR",0.745,0.73,5.173
10331513,0.01853,143100,Tajikistan,Asia,TRUE,74.4399,192.7993,"AFG, CHN, KGZ, UZB",0.685,0.664,5.377
10302720,-0.00373,131990,Greece,Europe,TRUE,79.928,207.0135,"ALB, BGR, TUR, MKD",0.887,0.886,5.948
10223349,-0.00237,92090,Portugal,Europe,TRUE,111.6018,289.0486,ESP,0.866,0.863,6.016
9994993,-0.01588,93028,Hungary,Europe,TRUE,109.5222,283.6624,"AUT, HRV, ROU, SRB, SVK, SVN, UKR",0.846,0.849,6.086
9591853,0.00788,83600,United Arab Emirates,Asia,TRUE,135.0585,349.8015,"OMN, SAU",0.911,0.912,6.576
9455037,-0.00455,207600,Belarus,Europe,TRUE,46.5811,120.6451,"LVA, LTU, POL, RUS, UKR",0.808,0.807,5.821
9311652,0.01495,20770,Israel,Asia,TRUE,430.2982,1114.4722,"EGY, JOR, LBN, SYR",0.919,0.917,7.364
9260864,0.02287,56785,Togo,Africa,TRUE,170.2678,440.9935,"BEN, BFA, GHA",0.539,0.535,4.112
8977972,0.02126,71740,Sierra Leone,Africa,TRUE,124.3831,322.1522,"GIN, LBR",0.477,0.475,3.574
8977139,0.00203,83871,Austria,Europe,TRUE,108.7874,281.7595,"CZE, DEU, HUN, ITA, LIE, SVK, SVN, CHE",0.916,0.913,7.163
8851431,0.00623,41284,Switzerland,Europe,TRUE,223.9961,580.15,"AUT, FRA, ITA, LIE, DEU",0.962,0.956,7.512
7736681,0.01348,236800,Laos,Asia,TRUE,33.5211,86.8198,"MMR, KHM, CHN, THA, VNM",0.607,0.608,5.14
7496681,0.00068,1104,Hong Kong,Asia,FALSE,7139.6962,18491.8131,CHN,0.952,0.949,5.425
7142529,0.01366,130373,Nicaragua,North America,TRUE,59.3529,153.724,"CRI, HND",0.667,0.654,6.165
7097028,-0.00728,88361,Serbia,Europe,TRUE,81.146,210.1681,"BIH, BGR, HRV, HUN, KOS, MKD, MNE, ROU",0.802,0.804,6.178
6964197,0.01101,1759540,Libya,Africa,TRUE,3.958,10.2511,"DZA, TCD, EGY, NER, SDN, TUN",0.718,0.703,5.33
6947270,0.0125,406752,Paraguay,South America,TRUE,17.4862,45.2893,"ARG, BOL, BRA",0.717,0.73,5.578
6839606,0.01548,199951,Kyrgyzstan,Asia,TRUE,35.6601,92.3596,"CHN, KAZ, TJK, UZB",0.692,0.689,5.828
6618615,-0.01033,110879,Bulgaria,Europe,TRUE,60.9673,157.9054,"GRC, MKD, ROU, SRB, TUR",0.795,0.802,5.371
6598071,0.01258,488100,Turkmenistan,Asia,TRUE,14.0405,36.365,"AFG, IRN, KAZ, UZB",0.745,0.741,5.474
6396289,0.00493,21041,El Salvador,North America,TRUE,308.7012,799.5361,"GTM, HND",0.675,0.672,6.12
6244547,0.02255,342000,Republic of the Congo,Africa,TRUE,18.2856,47.3598,"AGO, CMR, CAF, COD, GAB",0.571,0.574,5.075
6052709,0.00632,710,Singapore,Asia,TRUE,8429.9568,21833.5882,,0.939,0.939,6.48
5939695,0.00487,43094,Denmark,Europe,TRUE,148.4924,384.5953,DEU,0.948,0.947,7.636
5702832,-0.01594,49037,Slovakia,Europe,TRUE,116.3013,301.2202,"AUT, CZE, HUN, POL, UKR",0.848,0.857,6.391
5549886,0.0008,338424,Finland,Europe,TRUE,18.2598,47.2929,"NOR, SWE, RUS",0.94,0.938,7.821
5536949,0.02188,111369,Liberia,Africa,TRUE,57.4849,148.886,"GIN, CIV, SLE",0.481,0.48,5.122
5514477,0.00733,323802,Norway,Europe,TRUE,15.1378,39.2069,"FIN, SWE, RUS",0.961,0.959,7.365
5494963,0.02304,6220,Palestine,Asia,TRUE,912.7846,2364.112,"ISR, EGY, JOR",0.715,0.716,4.483
5269939,0.008,270467,New Zealand,Oceania,TRUE,20.0142,51.8368,,0.937,0.936,7.2
5246714,0.00663,51100,Costa Rica,North America,TRUE,102.7559,266.1377,"NIC, PAN",0.809,0.816,6.582
5219044,-0.02519,10452,Lebanon,Asia,TRUE,510.1705,1321.3415,"ISR, SYR",0.706,0.726,2.955
5089478,0.00644,70273,Ireland,Europe,TRUE,73.8783,191.3449,GBR,0.945,0.943,7.041
4993922,0.02692,1030700,Mauritania,Africa,TRUE,4.8452,12.549,"DZA, MLI, SEN, ESH",0.556,0.556,4.153
4527961,0.0134,75417,Panama,North America,TRUE,61.0402,158.0941,"COL, CRI",0.805,0.801,6.309
4349380,0.00911,17818,Kuwait,Asia,TRUE,244.073,632.1489,"IRQ, SAU",0.831,0.822,6.106
3986627,-0.00549,56594,Croatia,Europe,TRUE,71.2407,184.5133,"BIH, HUN, MNE, SRB, SVN",0.858,0.855,6.125
3717425,-0.00291,69700,Georgia,Asia,TRUE,53.4958,138.5542,"ARM, AZE, RUS, TUR",0.802,0.802,4.973
3493629,0.01348,1564110,Mongolia,Asia,TRUE,2.2431,5.8096,"CHN, RUS",0.739,0.745,5.761
3423316,0.00006,181034,Uruguay,South America,TRUE,19.5596,50.6593,"ARG, BRA",0.809,0.821,6.474
3329865,-0.03087,33846,Moldova,Europe,TRUE,101.2591,262.2611,"ROU, UKR",0.767,0.766,5.857
3194378,-0.00513,51209,Bosnia and Herzegovina,Europe,TRUE,62.3902,161.5906,"HRV, MNE, SRB",0.78,0.781,5.768
2841803,0.02475,10689,Gambia,Africa,TRUE,280.8106,727.2994,SEN,0.5,0.501,5.164
2826020,-0.00227,28748,Albania,Europe,TRUE,103.1394,267.1311,"MNE, GRC, MKD, KOS",0.796,0.794,5.199
2824738,-0.00029,10991,Jamaica,North America,TRUE,260.8253,675.5375,,0.709,0.713,5.85
2777979,0,29743,Armenia,Asia,TRUE,97.5757,252.721,"AZE, GEO, IRN, TUR",0.759,0.757,5.399
2719694,0.01657,582000,Botswana,Africa,TRUE,4.7989,12.4292,"NAM, ZAF, ZMB, ZWE",0.693,0.713,3.471
2692798,-0.0094,65300,Lithuania,Europe,TRUE,43.0022,111.3757,"BLR, LVA, POL, RUS",0.875,0.879,6.446
2645805,0.01599,825615,Namibia,Africa,TRUE,3.2137,8.3235,"AGO, BWA, ZAF, ZMB",0.615,0.633,4.459
2484557,0.0197,267668,Gabon,Africa,TRUE,9.6424,24.9738,"CMR, COG, GNQ",0.706,0.71,4.958
2356083,0.01106,30355,Lesotho,Africa,TRUE,77.6048,200.9965,ZAF,0.514,0.521,3.512
2118965,-0.00034,20273,Slovenia,Europe,TRUE,105.2306,272.5472,"AUT, HRV, ITA, HUN",0.918,0.913,6.63
2082706,-0.00143,25713,North Macedonia,Europe,TRUE,82.5815,213.8861,"ALB, BGR, GRC, KOS, SRB",0.77,0.774,5.199
1810240,-0.01091,64559,Latvia,Europe,TRUE,29.0895,75.3418,"BLR, EST, LTU, RUS",0.863,0.871,6.18
1498712,0.00889,765,Bahrain,Asia,TRUE,1909.1873,4944.795,,0.875,0.877,6.647
1319041,-0.00282,45227,Estonia,Europe,TRUE,30.8548,79.9138,"LVA, RUS",0.89,0.892,6.341
1301978,0.00109,2040,Mauritius,Africa,TRUE,641.3685,1661.1443,,0.802,0.804,6.071
1268467,0.00661,9251,Cyprus,Europe,TRUE,137.28,355.5551,GBR,0.896,0.894,6.221
1222075,0.00929,17364,Eswatini,Africa,TRUE,71.0509,184.0218,"MOZ, ZAF",0.597,0.61,4.396
867605,0.01823,1862,Comoros,Africa,TRUE,466.2037,1207.4675,,0.558,0.562,4.609
661594,0.01043,2586,Luxembourg,Europe,TRUE,256.9796,665.5772,"BEL, FRA, DEU",0.93,0.924,7.404
626102,-0.00061,13812,Montenegro,Europe,TRUE,46.5503,120.5654,"ALB, BIH, HRV, KOS, SRB",0.832,0.826,5.547
536740,0.00313,316,Malta,Europe,TRUE,1677.3125,4344.2394,,0.918,0.911,6.447
377689,0.00632,103000,Iceland,Europe,TRUE,3.7458,9.7016,,0.959,0.957,7.557
