year,academic_type,source_type,source_of_fund,students
2011/12,OPT,International,Personal and Family,35937
2011/12,OPT,International,Foreign Government or University,426
2011/12,OPT,International,Foreign Private Sponsor,426
2011/12,OPT,International,International Organization,85
2011/12,OPT,U.S.,Current Employment,41301
2011/12,OPT,U.S.,U.S. College or University,6557
2011/12,OPT,U.S.,U.S. Government,0
2011/12,OPT,U.S.,U.S. Private Sponsor,170
2011/12,OPT,Other,Other Sources,255
2012/13,Undergraduate,International,Personal and Family,274035
2012/13,Undergraduate,International,Foreign Government or University,24479
2012/13,Undergraduate,International,Foreign Private Sponsor,3060
2012/13,Undergraduate,International,International Organization,340
2012/13,Undergraduate,U.S.,Current Employment,340
2012/13,Undergraduate,U.S.,U.S. College or University,29919
2012/13,Undergraduate,U.S.,U.S. Government,2380
2012/13,Undergraduate,U.S.,U.S. Private Sponsor,2720
2012/13,Undergraduate,Other,Other Sources,2720
2012/13,Graduate,International,Personal and Family,159958
2012/13,Graduate,International,Foreign Government or University,16183
2012/13,Graduate,International,Foreign Private Sponsor,4357
2012/13,Graduate,International,International Organization,622
2012/13,Graduate,U.S.,Current Employment,1245
2012/13,Graduate,U.S.,U.S. College or University,123548
2012/13,Graduate,U.S.,U.S. Government,2490
2012/13,Graduate,U.S.,U.S. Private Sponsor,1556
2012/13,Graduate,Other,Other Sources,1245
2012/13,Non-Degree,International,Personal and Family,44263
2012/13,Non-Degree,International,Foreign Government or University,16250
2012/13,Non-Degree,International,Foreign Private Sponsor,1324
2012/13,Non-Degree,International,International Organization,294
2012/13,Non-Degree,U.S.,Current Employment,1912
2012/13,Non-Degree,U.S.,U.S. College or University,7500
2012/13,Non-Degree,U.S.,U.S. Government,956
2012/13,Non-Degree,U.S.,U.S. Private Sponsor,441
2012/13,Non-Degree,Other,Other Sources,588
2012/13,OPT,International,Personal and Family,38822
2012/13,OPT,International,Foreign Government or University,664
2012/13,OPT,International,Foreign Private Sponsor,475
2012/13,OPT,International,International Organization,0
2012/13,OPT,U.S.,Current Employment,45276
2012/13,OPT,U.S.,U.S. College or University,9207
2012/13,OPT,U.S.,U.S. Government,95
2012/13,OPT,U.S.,U.S. Private Sponsor,190
2012/13,OPT,Other,Other Sources,190
2013/14,Undergraduate,International,Personal and Family,298433
2013/14,Undergraduate,International,Foreign Government or University,31882
2013/14,Undergraduate,International,Foreign Private Sponsor,3707
2013/14,Undergraduate,International,International Organization,371
2013/14,Undergraduate,U.S.,Current Employment,371
2013/14,Undergraduate,U.S.,U.S. College or University,28916
2013/14,Undergraduate,U.S.,U.S. Government,1112
2013/14,Undergraduate,U.S.,U.S. Private Sponsor,2966
2013/14,Undergraduate,Other,Other Sources,2966
2013/14,Graduate,International,Personal and Family,172844
2013/14,Graduate,International,Foreign Government or University,17482
2013/14,Graduate,International,Foreign Private Sponsor,4288
2013/14,Graduate,International,International Organization,660
2013/14,Graduate,U.S.,Current Employment,2309
2013/14,Graduate,U.S.,U.S. College or University,127653
2013/14,Graduate,U.S.,U.S. Government,2309
2013/14,Graduate,U.S.,U.S. Private Sponsor,990
2013/14,Graduate,Other,Other Sources,1319
2013/14,Non-Degree,International,Personal and Family,50388
2013/14,Non-Degree,International,Foreign Government or University,15816
2013/14,Non-Degree,International,Foreign Private Sponsor,795
2013/14,Non-Degree,International,International Organization,477
2013/14,Non-Degree,U.S.,Current Employment,1907
2013/14,Non-Degree,U.S.,U.S. College or University,8107
2013/14,Non-Degree,U.S.,U.S. Government,1033
2013/14,Non-Degree,U.S.,U.S. Private Sponsor,477
2013/14,Non-Degree,Other,Other Sources,477
2013/14,OPT,International,Personal and Family,45790
2013/14,OPT,International,Foreign Government or University,742
2013/14,OPT,International,Foreign Private Sponsor,1060
2013/14,OPT,International,International Organization,0
2013/14,OPT,U.S.,Current Employment,48017
2013/14,OPT,U.S.,U.S. College or University,9646
2013/14,OPT,U.S.,U.S. Government,212
2013/14,OPT,U.S.,U.S. Private Sponsor,212
2013/14,OPT,Other,Other Sources,318
2014/15,Undergraduate,International,Personal and Family,318660
2014/15,Undergraduate,International,Foreign Government or University,36692
2014/15,Undergraduate,International,Foreign Private Sponsor,3988
2014/15,Undergraduate,International,International Organization,798
2014/15,Undergraduate,U.S.,Current Employment,399
2014/15,Undergraduate,U.S.,U.S. College or University,31507
2014/15,Undergraduate,U.S.,U.S. Government,798
2014/15,Undergraduate,U.S.,U.S. Private Sponsor,2393
2014/15,Undergraduate,Other,Other Sources,3589
2014/15,Graduate,International,Personal and Family,200674
2014/15,Graduate,International,Foreign Government or University,18111
2014/15,Graduate,International,Foreign Private Sponsor,3985
2014/15,Graduate,International,International Organization,724
2014/15,Graduate,U.S.,Current Employment,2173
2014/15,Graduate,U.S.,U.S. College or University,131489
2014/15,Graduate,U.S.,U.S. Government,2536
2014/15,Graduate,U.S.,U.S. Private Sponsor,1087
2014/15,Graduate,Other,Other Sources,1449
2014/15,Non-Degree,International,Personal and Family,50911
2014/15,Non-Degree,International,Foreign Government or University,13009
2014/15,Non-Degree,International,Foreign Private Sponsor,749
2014/15,Non-Degree,International,International Organization,655
2014/15,Non-Degree,U.S.,Current Employment,187
2014/15,Non-Degree,U.S.,U.S. College or University,26204
2014/15,Non-Degree,U.S.,U.S. Government,1029
2014/15,Non-Degree,U.S.,U.S. Private Sponsor,562
2014/15,Non-Degree,Other,Other Sources,281
2014/15,OPT,International,Personal and Family,52446
2014/15,OPT,International,Foreign Government or University,842
2014/15,OPT,International,Foreign Private Sponsor,1083
2014/15,OPT,International,International Organization,0
2014/15,OPT,U.S.,Current Employment,53407
2014/15,OPT,U.S.,U.S. College or University,10585
2014/15,OPT,U.S.,U.S. Government,0
2014/15,OPT,U.S.,U.S. Private Sponsor,120
2014/15,OPT,Other,Other Sources,1804
2015/16,Undergraduate,International,Personal and Family,346978
2015/16,Undergraduate,International,Foreign Government or University,38458
2015/16,Undergraduate,International,Foreign Private Sponsor,3846
2015/16,Undergraduate,International,International Organization,427
2015/16,Undergraduate,U.S.,Current Employment,0
2015/16,Undergraduate,U.S.,U.S. College or University,31621
2015/16,Undergraduate,U.S.,U.S. Government,855
2015/16,Undergraduate,U.S.,U.S. Private Sponsor,1709
2015/16,Undergraduate,Other,Other Sources,3419
2015/16,Graduate,International,Personal and Family,221145
2015/16,Graduate,International,Foreign Government or University,19197
2015/16,Graduate,International,Foreign Private Sponsor,3455
2015/16,Graduate,International,International Organization,768
2015/16,Graduate,U.S.,Current Employment,2304
2015/16,Graduate,U.S.,U.S. College or University,132842
2015/16,Graduate,U.S.,U.S. Government,1920
2015/16,Graduate,U.S.,U.S. Private Sponsor,768
2015/16,Graduate,Other,Other Sources,1536
2015/16,Non-Degree,International,Personal and Family,52503
2015/16,Non-Degree,International,Foreign Government or University,17699
2015/16,Non-Degree,International,Foreign Private Sponsor,1021
2015/16,Non-Degree,International,International Organization,511
2015/16,Non-Degree,U.S.,Current Employment,3404
2015/16,Non-Degree,U.S.,U.S. College or University,7573
2015/16,Non-Degree,U.S.,U.S. Government,936
2015/16,Non-Degree,U.S.,U.S. Private Sponsor,425
2015/16,Non-Degree,Other,Other Sources,1021
2015/16,OPT,International,Personal and Family,65194
2015/16,OPT,International,Foreign Government or University,885
2015/16,OPT,International,Foreign Private Sponsor,885
2015/16,OPT,International,International Organization,0
2015/16,OPT,U.S.,Current Employment,69177
2015/16,OPT,U.S.,U.S. College or University,9440
2015/16,OPT,U.S.,U.S. Government,0
2015/16,OPT,U.S.,U.S. Private Sponsor,147
2015/16,OPT,Other,Other Sources,1770
2016/17,Undergraduate,International,Personal and Family,359996
2016/17,Undergraduate,International,Foreign Government or University,34683
2016/17,Undergraduate,International,Foreign Private Sponsor,3512
2016/17,Undergraduate,International,International Organization,878
2016/17,Undergraduate,U.S.,Current Employment,0
2016/17,Undergraduate,U.S.,U.S. College or University,33804
2016/17,Undergraduate,U.S.,U.S. Government,1317
2016/17,Undergraduate,U.S.,U.S. Private Sponsor,1756
2016/17,Undergraduate,Other,Other Sources,3073
2016/17,Graduate,International,Personal and Family,239369
2016/17,Graduate,International,Foreign Government or University,17209
2016/17,Graduate,International,Foreign Private Sponsor,3520
2016/17,Graduate,International,International Organization,782
2016/17,Graduate,U.S.,Current Employment,1564
2016/17,Graduate,U.S.,U.S. College or University,121640
2016/17,Graduate,U.S.,U.S. Government,3129
2016/17,Graduate,U.S.,U.S. Private Sponsor,782
2016/17,Graduate,Other,Other Sources,3129
2016/17,Non-Degree,International,Personal and Family,51964
2016/17,Non-Degree,International,Foreign Government or University,10145
2016/17,Non-Degree,International,Foreign Private Sponsor,730
2016/17,Non-Degree,International,International Organization,365
2016/17,Non-Degree,U.S.,Current Employment,146
2016/17,Non-Degree,U.S.,U.S. College or University,6933
2016/17,Non-Degree,U.S.,U.S. Government,1241
2016/17,Non-Degree,U.S.,U.S. Private Sponsor,511
2016/17,Non-Degree,Other,Other Sources,949
2016/17,OPT,International,Personal and Family,0
2016/17,OPT,International,Foreign Government or University,0
2016/17,OPT,International,Foreign Private Sponsor,0
2016/17,OPT,International,International Organization,0
2016/17,OPT,U.S.,Current Employment,175695
2016/17,OPT,U.S.,U.S. College or University,0
2016/17,OPT,U.S.,U.S. Government,0
2016/17,OPT,U.S.,U.S. Private Sponsor,0
2016/17,OPT,Other,Other Sources,0
2017/18,Undergraduate,International,Personal and Family,364824
2017/18,Undergraduate,International,Foreign Government or University,34091
2017/18,Undergraduate,International,Foreign Private Sponsor,2656
2017/18,Undergraduate,International,International Organization,443
2017/18,Undergraduate,U.S.,Current Employment,0
2017/18,Undergraduate,U.S.,U.S. College or University,35862
2017/18,Undergraduate,U.S.,U.S. Government,443
2017/18,Undergraduate,U.S.,U.S. Private Sponsor,1328
2017/18,Undergraduate,Other,Other Sources,3099
2017/18,Graduate,International,Personal and Family,229005
2017/18,Graduate,International,Foreign Government or University,14552
2017/18,Graduate,International,Foreign Private Sponsor,3447
2017/18,Graduate,International,International Organization,766
2017/18,Graduate,U.S.,Current Employment,1915
2017/18,Graduate,U.S.,U.S. College or University,129438
2017/18,Graduate,U.S.,U.S. Government,1532
2017/18,Graduate,U.S.,U.S. Private Sponsor,766
2017/18,Graduate,Other,Other Sources,1532
2017/18,Non-Degree,International,Personal and Family,47582
2017/18,Non-Degree,International,Foreign Government or University,7810
2017/18,Non-Degree,International,Foreign Private Sponsor,525
2017/18,Non-Degree,International,International Organization,131
2017/18,Non-Degree,U.S.,Current Employment,197
2017/18,Non-Degree,U.S.,U.S. College or University,7548
2017/18,Non-Degree,U.S.,U.S. Government,525
2017/18,Non-Degree,U.S.,U.S. Private Sponsor,525
2017/18,Non-Degree,Other,Other Sources,788
2017/18,OPT,International,Personal and Family,0
2017/18,OPT,International,Foreign Government or University,0
2017/18,OPT,International,Foreign Private Sponsor,0
2017/18,OPT,International,International Organization,0
2017/18,OPT,U.S.,Current Employment,203462
2017/18,OPT,U.S.,U.S. College or University,0
2017/18,OPT,U.S.,U.S. Government,0
2017/18,OPT,U.S.,U.S. Private Sponsor,0
2017/18,OPT,Other,Other Sources,0
2018/19,Undergraduate,International,Personal and Family,360660
2018/19,Undergraduate,International,Foreign Government or University,27212
2018/19,Undergraduate,International,Foreign Private Sponsor,2592
2018/19,Undergraduate,International,International Organization,432
2018/19,Undergraduate,U.S.,Current Employment,0
2018/19,Undergraduate,U.S.,U.S. College or University,38010
2018/19,Undergraduate,U.S.,U.S. Government,432
2018/19,Undergraduate,U.S.,U.S. Private Sponsor,1296
2018/19,Undergraduate,Other,Other Sources,1296
2018/19,Graduate,International,Personal and Family,218450
2018/19,Graduate,International,Foreign Government or University,12472
2018/19,Graduate,International,Foreign Private Sponsor,3024
2018/19,Graduate,International,International Organization,756
2018/19,Graduate,U.S.,Current Employment,1890
2018/19,Graduate,U.S.,U.S. College or University,137571
2018/19,Graduate,U.S.,U.S. Government,1134
2018/19,Graduate,U.S.,U.S. Private Sponsor,756
2018/19,Graduate,Other,Other Sources,1890
2018/19,Non-Degree,International,Personal and Family,44761
2018/19,Non-Degree,International,Foreign Government or University,7045
2018/19,Non-Degree,International,Foreign Private Sponsor,810
2018/19,Non-Degree,International,International Organization,62
2018/19,Non-Degree,U.S.,Current Employment,125
2018/19,Non-Degree,U.S.,U.S. College or University,7793
2018/19,Non-Degree,U.S.,U.S. Government,436
2018/19,Non-Degree,U.S.,U.S. Private Sponsor,748
2018/19,Non-Degree,Other,Other Sources,561
2018/19,OPT,International,Personal and Family,0
2018/19,OPT,International,Foreign Government or University,0
2018/19,OPT,International,Foreign Private Sponsor,0
2018/19,OPT,International,International Organization,0
2018/19,OPT,U.S.,Current Employment,223085
2018/19,OPT,U.S.,U.S. College or University,0
2018/19,OPT,U.S.,U.S. Government,0
2018/19,OPT,U.S.,U.S. Private Sponsor,0
2018/19,OPT,Other,Other Sources,0
2019/20,Undergraduate,International,Personal and Family,351811
2019/20,Undergraduate,International,Foreign Government or University,20966
2019/20,Undergraduate,International,Foreign Private Sponsor,1677
2019/20,Undergraduate,International,International Organization,0
2019/20,Undergraduate,U.S.,Current Employment,419
2019/20,Undergraduate,U.S.,U.S. College or University,38158
2019/20,Undergraduate,U.S.,U.S. Government,419
2019/20,Undergraduate,U.S.,U.S. Private Sponsor,1258
2019/20,Undergraduate,Other,Other Sources,4613
2019/20,Graduate,International,Personal and Family,213803
2019/20,Graduate,International,Foreign Government or University,10110
2019/20,Graduate,International,Foreign Private Sponsor,2621
2019/20,Graduate,International,International Organization,374
2019/20,Graduate,U.S.,Current Employment,2995
2019/20,Graduate,U.S.,U.S. College or University,136669
2019/20,Graduate,U.S.,U.S. Government,1123
2019/20,Graduate,U.S.,U.S. Private Sponsor,749
2019/20,Graduate,Other,Other Sources,5991
2019/20,Non-Degree,International,Personal and Family,38820
2019/20,Non-Degree,International,Foreign Government or University,7159
2019/20,Non-Degree,International,Foreign Private Sponsor,2095
2019/20,Non-Degree,International,International Organization,291
2019/20,Non-Degree,U.S.,Current Employment,175
2019/20,Non-Degree,U.S.,U.S. College or University,7624
2019/20,Non-Degree,U.S.,U.S. Government,466
2019/20,Non-Degree,U.S.,U.S. Private Sponsor,640
2019/20,Non-Degree,Other,Other Sources,931
2019/20,OPT,International,Personal and Family,0
2019/20,OPT,International,Foreign Government or University,0
2019/20,OPT,International,Foreign Private Sponsor,0
2019/20,OPT,International,International Organization,0
2019/20,OPT,U.S.,Current Employment,223539
2019/20,OPT,U.S.,U.S. College or University,0
2019/20,OPT,U.S.,U.S. Government,0
2019/20,OPT,U.S.,U.S. Private Sponsor,0
2019/20,OPT,Other,Other Sources,0
2020/21,Undergraduate,International,Personal and Family,299703
2020/21,Undergraduate,International,Foreign Government or University,14391
2020/21,Undergraduate,International,Foreign Private Sponsor,1799
2020/21,Undergraduate,International,International Organization,360
2020/21,Undergraduate,U.S.,Current Employment,360
2020/21,Undergraduate,U.S.,U.S. College or University,35259
2020/21,Undergraduate,U.S.,U.S. Government,360
2020/21,Undergraduate,U.S.,U.S. Private Sponsor,1439
2020/21,Undergraduate,Other,Other Sources,6116
2020/21,Graduate,International,Personal and Family,174843
2020/21,Graduate,International,Foreign Government or University,7903
2020/21,Graduate,International,Foreign Private Sponsor,2305
2020/21,Graduate,International,International Organization,329
2020/21,Graduate,U.S.,Current Employment,3293
2020/21,Graduate,U.S.,U.S. College or University,132367
2020/21,Graduate,U.S.,U.S. Government,659
2020/21,Graduate,U.S.,U.S. Private Sponsor,329
2020/21,Graduate,Other,Other Sources,7244
2020/21,Non-Degree,International,Personal and Family,19755
2020/21,Non-Degree,International,Foreign Government or University,613
2020/21,Non-Degree,International,Foreign Private Sponsor,169
2020/21,Non-Degree,International,International Organization,0
2020/21,Non-Degree,U.S.,Current Employment,21
2020/21,Non-Degree,U.S.,U.S. College or University,381
2020/21,Non-Degree,U.S.,U.S. Government,21
2020/21,Non-Degree,U.S.,U.S. Private Sponsor,85
2020/21,Non-Degree,Other,Other Sources,106
2020/21,OPT,International,Personal and Family,0
2020/21,OPT,International,Foreign Government or University,0
2020/21,OPT,International,Foreign Private Sponsor,0
2020/21,OPT,International,International Organization,0
2020/21,OPT,U.S.,Current Employment,203885
2020/21,OPT,U.S.,U.S. College or University,0
2020/21,OPT,U.S.,U.S. Government,0
2020/21,OPT,U.S.,U.S. Private Sponsor,0
2020/21,OPT,Other,Other Sources,0
2021/22,Undergraduate,International,Personal and Family,285961
2021/22,Undergraduate,International,Foreign Government or University,11025
2021/22,Undergraduate,International,Foreign Private Sponsor,2067
2021/22,Undergraduate,International,International Organization,345
2021/22,Undergraduate,U.S.,Current Employment,0
2021/22,Undergraduate,U.S.,U.S. College or University,38588
2021/22,Undergraduate,U.S.,U.S. Government,689
2021/22,Undergraduate,U.S.,U.S. Private Sponsor,1378
2021/22,Undergraduate,Other,Other Sources,4479
2021/22,Graduate,International,Personal and Family,216810
2021/22,Graduate,International,Foreign Government or University,8087
2021/22,Graduate,International,Foreign Private Sponsor,2311
2021/22,Graduate,International,International Organization,385
2021/22,Graduate,U.S.,Current Employment,1925
2021/22,Graduate,U.S.,U.S. College or University,148262
2021/22,Graduate,U.S.,U.S. Government,770
2021/22,Graduate,U.S.,U.S. Private Sponsor,385
2021/22,Graduate,Other,Other Sources,6162
2021/22,Non-Degree,International,Personal and Family,23312
2021/22,Non-Degree,International,Foreign Government or University,3925
2021/22,Non-Degree,International,Foreign Private Sponsor,239
2021/22,Non-Degree,International,International Organization,34
2021/22,Non-Degree,U.S.,Current Employment,956
2021/22,Non-Degree,U.S.,U.S. College or University,4505
2021/22,Non-Degree,U.S.,U.S. Government,512
2021/22,Non-Degree,U.S.,U.S. Private Sponsor,102
2021/22,Non-Degree,Other,Other Sources,546
2021/22,OPT,International,Personal and Family,0
2021/22,OPT,International,Foreign Government or University,0
2021/22,OPT,International,Foreign Private Sponsor,0
2021/22,OPT,International,International Organization,0
2021/22,OPT,U.S.,Current Employment,184759
2021/22,OPT,U.S.,U.S. College or University,0
2021/22,OPT,U.S.,U.S. Government,0
2021/22,OPT,U.S.,U.S. Private Sponsor,0
2021/22,OPT,Other,Other Sources,0
2022/23,Undergraduate,International,Personal and Family,287467
2022/23,Undergraduate,International,Foreign Government or University,10776
2022/23,Undergraduate,International,Foreign Private Sponsor,4866
2022/23,Undergraduate,International,International Organization,0
2022/23,Undergraduate,U.S.,Current Employment,0
2022/23,Undergraduate,U.S.,U.S. College or University,37541
2022/23,Undergraduate,U.S.,U.S. Government,348
2022/23,Undergraduate,U.S.,U.S. Private Sponsor,1738
2022/23,Undergraduate,Other,Other Sources,4866
2022/23,Graduate,International,Personal and Family,283487
2022/23,Graduate,International,Foreign Government or University,7472
2022/23,Graduate,International,Foreign Private Sponsor,2335
2022/23,Graduate,International,International Organization,467
2022/23,Graduate,U.S.,Current Employment,2335
2022/23,Graduate,U.S.,U.S. College or University,163459
2022/23,Graduate,U.S.,U.S. Government,934
2022/23,Graduate,U.S.,U.S. Private Sponsor,467
2022/23,Graduate,Other,Other Sources,6071
2022/23,Non-Degree,International,Personal and Family,30504
2022/23,Non-Degree,International,Foreign Government or University,4858
2022/23,Non-Degree,International,Foreign Private Sponsor,219
2022/23,Non-Degree,International,International Organization,44
2022/23,Non-Degree,U.S.,Current Employment,131
2022/23,Non-Degree,U.S.,U.S. College or University,6609
2022/23,Non-Degree,U.S.,U.S. Government,394
2022/23,Non-Degree,U.S.,U.S. Private Sponsor,175
2022/23,Non-Degree,Other,Other Sources,832
2022/23,OPT,International,Personal and Family,0
2022/23,OPT,International,Foreign Government or University,0
2022/23,OPT,International,Foreign Private Sponsor,0
2022/23,OPT,International,International Organization,0
2022/23,OPT,U.S.,Current Employment,198793
2022/23,OPT,U.S.,U.S. College or University,0
2022/23,OPT,U.S.,U.S. Government,0
2022/23,OPT,U.S.,U.S. Private Sponsor,0
2022/23,OPT,Other,Other Sources,0
